ytrue,yhat
25770.0,18176.660848348114
25287.0,20449.030075823703
22252.0,17890.653077653034
24725.0,20228.01834778195
24837.0,16613.380418585806
21033.0,17050.39961542702
17042.0,16398.839457453774
16593.0,16655.059295544237
19183.0,20135.002720811903
16982.0,22774.37070588586
20854.0,21548.899288878572
19036.0,22575.835430684907
17830.0,19343.39395832229
17258.0,18026.84095369471
22483.0,20700.94962789296
18780.0,19173.681467093596
16807.0,19959.982604042907
17866.0,18770.870714274537
17629.0,21029.604715542282
17602.0,20345.98926350472
14919.000000000002,18771.682386205684
17794.0,16760.1831799156
17687.0,14661.369826811306
17666.0,18325.752731528075
14521.999999999998,19280.717402902337
14926.0,17755.39231588782
15962.0,18017.15094117176
17602.0,16648.102106611208
15378.0,21287.47038507472
17296.0,20167.071691518915
18423.0,20493.261529798605
12030.0,19803.800487896442
19888.0,17950.728785605803
15360.000000000002,20477.35514351289
15953.999999999998,19732.210001966072
16789.0,17864.363025875045
18041.0,17376.215602474913
22048.0,19426.186872972106
21579.0,18846.090617616424
24036.0,14652.460659386947
22874.0,14059.550049307356
16243.000000000002,15101.058481414311
15076.0,15816.449017074103
15485.999999999998,16310.046575465254
11280.0,18364.23695245182
12754.0,16950.764365270043
12276.0,17402.70532485641
14107.999999999998,16586.752777432437
13674.0,17649.617340809087
10264.0,16400.195276908373
12641.0,15766.968857984475
14014.0,16653.219355635436
13668.000000000002,15740.249333252315
13401.999999999998,15320.144209763836
13478.0,14809.213147533928
12197.0,13813.966317360038
9915.0,18283.249084171257
12737.0,16150.085412707474
14567.0,18761.23902468834
13490.0,17947.035258752578
13885.0,18586.674338771943
15190.0,16689.804715444374
10809.0,15885.469646076162
14830.0,13716.016556201055
13632.0,14024.488120965789
13605.0,16498.560813400563
13436.000000000002,16424.292595794384
14757.999999999998,14073.514751348554
11627.0,13927.016430247508
9600.0,15380.981250636618
16211.999999999998,17154.397752069475
14983.0,14622.160048695707
13732.0,16016.858982629463
13634.0,15346.91898558595
13735.0,16000.998934454972
9429.0,13822.643250827781
14723.0,12390.424164678852
12821.0,12587.69366841919
15556.0,12969.401986357765
16775.0,14242.68556064448
11627.0,13117.21052810447
12502.0,14036.482072189036
10810.0,12554.135619786108
12593.0,12254.221650626234
13969.0,12116.107573801393
14282.0,12168.046838899725
16477.0,13172.982420481194
12231.0,15021.278711505858
14015.0,15061.980900459614
15975.0,13820.526226910117
11842.0,12114.925937207308
13108.0,11735.119410264177
11946.0,12930.493048191769
13271.0,14319.790588551055
13488.000000000002,12922.318177164276
12994.000000000002,14206.552363586772
13343.0,13078.242333714477
13179.0,12620.667819853092
13204.0,12497.675468494812
9862.0,12666.968085845254
15043.999999999998,14543.346694565942
13265.0,11782.511341591357
11076.0,13684.500109039738
13005.0,11788.873552309145
9097.0,11445.944981784274
15698.000000000002,11375.762047694116
10038.0,12031.609399387966
13859.0,12493.835459162437
15480.0,11318.093654811924
11622.0,13658.72891524551
14972.0,12632.057860217306
9841.0,11304.0123507853
13312.0,11844.42022709627
17397.0,12223.719903110852
16332.0,13725.032514831726
16555.0,13438.609608993156
16903.0,14031.868329209858
14970.000000000002,12067.77080656385
13298.999999999998,11067.433130264293
10060.0,11214.584432166923
13098.000000000002,11811.055446188922
13438.0,14510.949021784914
12192.0,13473.446046770614
9147.0,13369.323597433697
12634.0,12135.967317646937
10962.0,11318.501829846464
11100.0,11421.80880345
13193.999999999998,12792.42588215372
12869.0,12594.628298578575
12300.0,11247.883941250417
13375.999999999998,12831.629355177782
12167.0,12000.098269683367
8381.0,11303.670233740633
13508.999999999998,9724.138915943739
8221.0,11670.579571026828
13423.0,12132.632088663866
12540.0,9863.25641946185
11979.0,13329.087087883228
11883.0,11677.053697336481
12558.0,10886.882105136205
13389.0,11280.083719760401
13269.0,12029.787295406313
10303.0,11494.476623479644
8053.999999999999,11775.497886819414
11955.0,12901.501717833902
10193.0,11929.253602585744
10321.0,11241.150127151639
13305.000000000002,11308.16955052503
13184.0,12176.089441962109
8459.0,14096.878620395546
8383.0,9966.721279076684
10484.0,13093.504320537511
10076.0,11783.296988916525
9097.0,11276.824040083397
13771.000000000002,10859.448314596038
14551.000000000002,12482.23778758762
7682.0,11828.901288452325
8538.0,9923.630828796862
13554.0,12312.276510050153
8515.0,10530.913364899898
8518.0,11287.846557722442
12555.0,10503.910635441054
9578.0,11764.566211037294
11781.0,8914.337565526479
4143.0,7352.990781836247
9250.0,12212.967035174815
16125.0,11230.633175679728
14425.000000000002,10807.957619112341
9385.0,11304.225523201845
18544.0,11650.205346121185
7780.0,10787.968672421428
14546.999999999998,8512.685756434652
8182.0,12784.02689997033
11378.0,12846.714271833378
8899.0,10602.735347856951
12063.0,11010.789321851182
12337.0,13087.125082923723
10113.0,12319.002216440895
13799.000000000002,11419.103151225238
13839.0,12961.915717013044
9453.0,12327.569786341759
5076.0,12499.194662650892
12204.0,12862.927210152931
11974.0,12206.705977771919
8681.0,11265.184983662053
8492.0,11003.699594236594
13177.0,11302.616774428612
13584.999999999998,11845.288506916871
12395.0,12004.655257883967
11079.0,11925.039835681702
9044.0,12627.482436924292
10713.0,10772.6052977815
10689.0,9976.0498968415
9778.0,11835.71247886047
10976.0,11846.736658985712
12142.0,11844.031322769151
16025.0,11653.727769332594
13361.0,11938.021241628274
8063.0,10893.293964137498
8128.0,9234.825385101653
12335.0,12151.63280768379
9948.0,11799.482346194356
10056.0,11412.084356412337
9583.0,12406.721389211834
13522.0,13497.601722884696
12371.0,11531.707367630697
8223.0,10402.540349524084
7962.999999999999,11821.746360142653
10705.0,11517.662042873115
7245.0,11077.05300602439
7793.999999999999,9652.259050907196
11060.0,9498.855533076247
7266.0,12152.243397352984
9257.0,10244.927057556712
10848.0,11168.200745335005
11434.0,11330.776798978653
10376.0,11515.627362390476
8305.0,11785.394920227374
10571.0,12987.240710358697
6500.0,11092.651102729775
6619.0,10063.036170936302
10132.0,11041.272624175217
13267.0,11446.110570322864
14121.0,10487.681552878075
9292.0,11529.923177978977
9157.0,12013.314088175488
7420.000000000001,10602.280515393275
9034.0,10505.26159306394
8418.0,11291.466670419997
8586.0,10891.186436142612
10114.0,10599.17342832443
13445.0,11933.186798856823
11477.0,12218.835180935619
5866.0,10624.962413842113
8348.0,9474.403175648913
13313.0,12192.479626565113
10085.0,12071.983953963714
8700.0,12581.135791653174
13090.999999999998,12683.169332871543
7222.999999999999,13473.257584628087
11232.0,11016.018992952242
11700.0,10633.094955094875
11052.0,10244.660482208086
7493.999999999999,10996.02734667953
13439.0,11675.394483109769
12627.0,11971.499815699008
14123.0,12525.873881578133
11891.0,9743.326057876408
11532.0,9431.209415283154
11147.0,11394.62584948526
13931.000000000002,11171.937114423912
10450.0,10017.817841918966
10428.0,11615.287616961845
10943.0,11636.479121524384
8225.0,10122.78889928339
8317.0,9592.689250020629
11869.0,11393.63841753504
13631.0,11551.394500977021
6481.999999999999,11724.068949177808
13467.0,12691.979060180951
13255.0,12834.924525282588
7557.0,11645.944722956527
8440.0,11087.157781427393
13534.999999999998,10907.779223726751
8717.0,11061.888555126674
13091.999999999998,11349.961311369396
13818.999999999998,12111.974349799502
11418.0,12476.52275536795
8952.0,12642.507602131685
8468.0,11139.348366926873
12935.999999999998,11061.234975140154
10695.0,11147.904226323455
8111.0,10828.408768161147
9850.0,10159.372933969977
15732.0,12162.08643327586
8348.0,11869.722621389243
7207.0,10651.76155388766
12108.0,10489.700721476174
12372.0,11826.584952652189
15761.0,12396.713401264553
11201.0,10720.754827614728
13479.0,12701.659239623714
12856.0,10579.518840224317
8111.0,10099.53459856032
12429.0,9724.742203968919
9874.0,11167.191287903546
11737.0,12327.241433355808
9041.0,12952.007588124725
13350.999999999998,12726.0998329328
8311.0,9756.174983782337
8169.0,8621.821806411994
13197.999999999998,10811.023831864892
9558.0,11423.231734493644
8645.0,10207.014457211795
13868.0,10546.228830846781
9282.0,10974.363131245067
8429.0,9702.888108795554
10946.0,9770.246336254315
12853.0,10671.54218574939
12768.0,10116.834397826206
11543.0,11829.449144525352
11583.0,13108.08378161249
12162.0,13061.985618297444
9818.0,10369.2752604647
10131.0,9898.554165131503
13148.000000000002,11537.639710968713
12946.0,11945.578502510938
11910.0,12669.272535993954
10786.0,13005.956405659123
10643.0,12335.623481693026
4945.0,11075.993376514047
10043.0,9799.211499197836
13333.000000000002,13088.132510199279
14857.999999999998,13201.853229350938
13203.0,11342.362973511983
16874.0,14050.770718762857
18929.0,13371.99422753581
17617.0,9939.524946249741
7312.999999999999,10269.293857183755
13633.0,12557.24672611655
8435.0,12344.133608198877
11381.0,11911.29683244649
13676.0,12346.552847206161
13867.0,13644.152884180785
10064.0,11475.405127498012
8345.0,10680.797668907227
13399.0,11410.9118722607
13652.0,11688.263437956672
12523.0,11840.01426725924
12052.0,12240.535797933604
9315.0,12016.210558494275
8232.0,10826.970641963519
8151.0,10422.061352340414
12046.0,10387.078014613957
14116.0,11894.328977941337
12618.0,13518.55307662022
8727.0,13867.496135011572
15048.000000000002,11433.07803459015
8451.0,10447.613107774796
12800.0,9961.358449461575
13539.000000000002,11627.591111258736
13739.999999999998,12598.411045695819
11388.0,14179.975445559223
13973.999999999998,15388.726417687905
13461.000000000002,16360.972163030343
15726.0,12282.814145676302
20254.0,10957.702724735014
15755.0,13040.622557611316
17974.0,13422.853793608987
11158.0,13269.812038575657
16500.0,14941.448921561992
15054.0,17629.628428858934
22877.0,17506.08604704956
20141.0,16904.18256310712
19295.0,16389.606025412726
16505.0,16637.95021321709
18582.0,18389.79149894851
21097.0,20134.945858451345
26594.999999999996,20047.663667933233
26479.0,21452.910563442016
27042.0,23932.540528607038
28423.999999999996,20868.164000432625
27896.999999999996,20300.021566342057
28055.999999999996,22313.351857872465
26888.0,26834.332370323493
21394.0,21430.588181705607
20482.0,23682.59781978999
18974.0,23608.11322968237
21834.0,20880.55133022914
20292.0,19096.526185718452
19755.0,20275.78823801445
24364.0,21224.384667507176
17907.0,20969.856705227277
19927.0,20067.470246363
17754.0,19254.223811631993
19481.0,19608.664974006755
15779.0,18541.35219038503
22869.0,21565.16146950545
17548.0,18775.431309395255
20229.0,20365.9045379833
16100.0,17805.13878609015
16741.0,19469.659761198876
17471.0,19026.585722812375
20191.0,18489.770289413005
15770.999999999998,20171.33256516696
20707.0,19952.611569404537
19867.0,18627.572597681457
15810.0,19807.789017474868
22921.0,21458.282833352245
15308.000000000002,21237.52095945896
17488.0,17948.694071204365
14207.0,20384.709638477725
11918.0,19704.237471760174
13815.0,17303.14863274519
15580.0,19875.1890591354
16108.999999999998,20868.09507968306
15550.0,17945.24534257945
13087.0,17559.018981966652
15335.000000000002,18758.61925942174
16358.0,16381.523785858073
12244.0,14983.928909129958
12314.0,16601.767742809207
13645.000000000002,14798.75629828858
11438.0,15281.990073387009
10676.0,16135.387778553668
15179.000000000002,16353.393556136212
14756.999999999998,14813.442768049212
12888.0,13907.61634987789
10043.0,14113.341216621444
14983.0,16016.721579010547
15503.0,19207.053147489165
15722.000000000002,17673.579589626337
12034.0,13804.947570253773
12174.0,12732.547642008216
10756.0,13260.487702759685
11430.0,12217.688525438734
15281.000000000002,15039.39731247771
19468.0,15209.925578300952
20743.0,14534.614020964793
20585.0,18883.317564608275
21568.0,19976.095625399972
19715.0,19480.019487631816
10491.0,17255.86502205794
13089.0,16480.62187277659
16160.999999999998,16206.254169172933
12111.0,14510.81553857192
11538.0,14917.560244678909
10336.0,14657.337500243362
9953.0,14780.915385718741
13491.0,13221.233059795408
16881.0,13216.385260076904
11212.0,13836.187254298546
9080.0,14859.739261055729
18549.0,13717.876733243169
14775.0,15957.324955600778
9092.0,12521.215123051174
20763.0,13257.741700592695
10051.0,13078.445369574663
11964.0,13792.138039225447
17766.0,14147.429232721597
10626.0,15191.173808133668
11323.0,12300.850938940417
15317.0,12014.276830390283
9542.0,11552.672021776636
17588.0,10886.094108892352
13877.000000000002,14753.045891653483
8514.0,14659.046645311912
11691.0,17699.957836337744
10139.0,16367.754924572795
12957.0,14694.94862908265
10461.0,12976.717655811623
13364.0,12837.769386519523
8490.0,12385.481501551867
8465.0,11132.434180989567
12474.0,11931.749725026912
13555.0,11382.573841707375
12707.0,11590.211099642094
13340.0,10807.994813922262
11925.0,12243.931083456475
8435.0,12698.706176712634
8394.0,13219.297928918408
13193.999999999998,12751.589858122861
13418.0,9096.75494107285
12133.0,12171.916818403499
15289.0,12366.736750481392
15124.000000000002,13006.405970351552
14086.000000000002,11147.816151723979
8493.0,11024.23329221073
13234.0,12895.621116607852
15603.0,12151.406530992706
7539.0,10839.984167555562
12640.0,12296.013400430022
13615.000000000002,13103.203269038693
8528.0,11863.758962441287
8347.0,11957.059385914396
15683.0,12325.78916115942
13442.0,12193.819711087906
10245.0,10861.573033172659
12304.0,10839.32889498018
11315.0,11047.72395916294
9028.0,10875.156403630632
11338.0,10220.104872079317
8596.0,11844.74683291641
14155.0,12064.038846372427
13358.000000000002,11001.58039499088
13862.0,9933.645919742698
11018.0,10836.387675311566
8305.0,9651.272003529131
8194.0,9395.044875519025
10565.0,12702.26066547031
10938.0,11015.441819579542
10345.0,11087.176249328288
13559.999999999998,10965.57127850897
13141.0,12537.589518884093
8219.0,7759.6731247229345
7880.0,8608.399730479578
10743.0,11562.960436817904
10117.0,10636.326177868754
17389.0,10342.127224200567
12118.0,13222.581054129409
12127.0,12311.847888770832
5635.0,9707.132925680095
8442.0,8649.536860862627
13434.000000000002,13061.80542369868
13443.0,13436.471433990208
11352.0,13290.777664580624
12749.0,13332.390003602875
7895.0,13244.28770077922
8869.0,9004.74428954621
9963.0,9626.310230625248
14439.0,12039.069913769168
11935.0,9774.386060341083
10755.0,10243.78019547233
11800.0,9956.748659255769
12141.0,9791.712985045424
8269.0,7954.503593684843
8199.0,7567.2854694541575
13115.999999999998,11520.634741571863
10827.0,10418.752391599395
16258.0,10175.592322619548
8275.0,10308.382180421591
14088.0,10095.979502697892
8420.0,7813.817346449295
8243.0,7986.789394241929
13642.000000000002,12392.981485535194
