ytrue,yhat
25355.0,18431.165472859073
26858.999999999996,18763.238088315615
20969.0,17474.30281022831
25770.0,17463.0761603812
25287.0,17347.31055531131
22252.0,17231.544950241423
24725.0,17524.29301156663
24837.0,17437.601137327507
21033.0,17952.458710138446
17042.0,18105.81157856318
16593.0,18000.401390074156
17989.0,17894.991201585133
19183.0,17723.341701002468
16982.0,17678.176011854823
20854.0,17584.961433552482
19036.0,18095.634456481705
17830.0,17993.817089089524
17258.0,17891.999721697342
22483.0,17755.889099124986
18780.0,17662.632971656985
16807.0,17609.54932017504
17866.0,17565.873544547794
17629.0,18035.406431322
17602.0,17952.96308471107
14919.000000000002,17800.66759059414
17794.0,17708.445964810537
17687.0,17616.22433902693
17666.0,17425.537901642554
14521.999999999998,17344.034580771055
14926.0,17827.619465574135
15962.0,17613.59087767933
17602.0,17525.450406439653
15378.0,18072.050946471154
17296.0,17929.924258992873
18423.0,17790.625812480557
12030.0,17701.185388205264
19888.0,18148.10223042431
15360.000000000002,18065.34591272031
15953.999999999998,17982.589595016303
16789.0,17858.114335537495
18041.0,23559.913696045416
22048.0,23365.63444925502
21579.0,22351.622290687566
24036.0,24135.300725259105
22874.0,24042.033053843068
16243.000000000002,23751.55447327885
15076.0,17728.427793177296
15485.999999999998,17640.014339726917
11280.0,17437.27831519439
12754.0,17334.50612143003
12276.0,14597.551000242604
14107.999999999998,14379.449255649079
13674.0,14281.316853282804
10264.0,14183.184450916528
12641.0,13955.716298967718
14014.0,17208.059270152058
13668.000000000002,13695.310543475278
13401.999999999998,14269.015882778702
13478.0,14163.063703797401
12197.0,14057.1115248161
9915.0,14500.709077612275
12737.0,14400.918369500061
14567.0,14202.807667048324
13490.0,14023.876849391278
13885.0,14671.170675182333
15190.0,14561.942148166863
10809.0,14438.41157714588
14830.0,14329.127285741197
13632.0,15312.294137359271
13605.0,14004.521557906734
13436.000000000002,13896.824899910303
14757.999999999998,14525.410591785496
11627.0,14407.686887538273
9600.0,14302.882674508566
16211.999999999998,14198.07846147886
14983.0,14038.805323369983
13732.0,13884.260128746168
13634.0,13783.233984565386
13735.0,14387.841993651107
9429.0,12975.480671094121
14723.0,12876.536691964033
12821.0,12764.847254643108
15556.0,12676.959492663778
16775.0,12493.464262263968
11627.0,12501.194268606676
12502.0,13024.20589212591
10810.0,12940.704341618835
12593.0,12808.140192098796
13969.0,12723.381377921663
14282.0,13681.330175087292
16477.0,12467.69460486953
12231.0,13049.784961404115
14015.0,13566.309576682814
15975.0,13513.336184637194
11842.0,13427.583954213835
13108.0,13341.831723790478
11946.0,13259.200291924275
13271.0,13112.690080368642
13488.000000000002,13025.316197022916
12994.000000000002,13546.262212978194
13343.0,13452.375962301321
13179.0,13358.489711624446
13204.0,13247.46603568995
9862.0,13139.541648652257
15043.999999999998,13025.089210202283
13265.0,12914.34228310857
11076.0,13501.938452077222
13005.0,13387.618465381742
9097.0,13264.562455603627
15698.000000000002,13152.618426748915
10038.0,13040.674397894203
13859.0,14016.10528387788
15480.0,12809.563774421611
11622.0,13381.883730573263
14972.0,13278.8611639733
9841.0,13167.555813304276
13312.0,13056.250462635246
17397.0,12936.133814623568
16332.0,12877.994897672144
16555.0,13723.73143306427
16903.0,16976.90736829752
14970.000000000002,14977.598521217762
13298.999999999998,13767.602920046618
10060.0,13677.610809708189
13098.000000000002,13588.494781465322
13438.0,13529.196634840462
12192.0,13405.187253466709
9147.0,13862.732928104539
12634.0,13765.984506758601
10962.0,13612.356637220264
11100.0,13531.123817971114
13193.999999999998,13449.890998721963
12869.0,13345.389158350865
12300.0,13258.867443842706
13375.999999999998,13686.526801643828
12167.0,13589.751514655358
8381.0,13509.949166788385
13508.999999999998,13430.146818921412
8221.0,13301.253300792305
13423.0,13224.646318001049
12540.0,13147.171685113626
11979.0,13524.791249220296
11883.0,13440.919661915153
12558.0,13357.048074610011
13389.0,13241.864440414325
13269.0,13167.121528410924
10303.0,13117.250772867641
8053.999999999999,13008.34396553037
11955.0,13382.042626831437
10193.0,13311.027443868483
10321.0,13155.786943933494
13305.000000000002,14441.134627060143
13184.0,17291.90324520703
8459.0,13505.200603049532
8383.0,13433.103328590974
10484.0,13787.510932968082
10076.0,13600.076054521518
9097.0,13530.779474518133
13771.000000000002,13461.482894514744
14551.000000000002,13321.914311444536
7682.0,13270.104661495147
8538.0,13199.337515269122
13554.0,13501.264620931252
8515.0,13440.345255537004
8518.0,13379.425890142757
12555.0,13248.092102106999
9578.0,13197.075447495865
11781.0,13082.865731798865
4143.0,12983.69892028125
9250.0,13343.229317437344
16125.0,13285.131698529653
14425.000000000002,13156.976202036794
9385.0,11803.100907407696
18544.0,11744.797550026526
7780.0,11665.754547613575
14546.999999999998,11620.900251558174
8182.0,11970.300668453454
11378.0,11869.065178371875
8899.0,11835.471469637809
12063.0,11801.877760903742
12337.0,11740.720916386575
10113.0,11567.991690445486
13799.000000000002,11956.653525915106
13839.0,12274.825855181354
9453.0,12247.618894463369
5076.0,12220.411933745385
12204.0,12102.18833649544
11974.0,12070.491840416222
8681.0,11925.826090056951
8492.0,11858.677267855886
13177.0,12128.960609865806
13584.999999999998,12098.917583231003
12395.0,12073.751843729424
11079.0,12036.268950362584
9044.0,11998.786056995741
10713.0,15490.853828771858
10689.0,15443.311470575498
9778.0,15773.078194364127
10976.0,15481.531570360052
12142.0,15440.34210126902
16025.0,15399.152632177986
13361.0,15311.213656144952
8063.0,15178.330532119015
8128.0,15131.553567594996
12335.0,15255.709784482646
9948.0,15217.407555228365
10056.0,15179.105325974082
9583.0,14991.516351645156
13522.0,14955.871558255756
12371.0,14759.757570959993
8223.0,14619.414169482981
7962.999999999999,11515.498647973323
10705.0,11473.66650637545
7245.0,11731.674449022054
7793.999999999999,11708.413454386562
11060.0,11685.15245975107
7266.0,11371.102198327913
9257.0,11341.809238880796
10848.0,11664.357887637474
11434.0,11577.768044357657
10376.0,11555.102563787073
8305.0,11532.437083216488
10571.0,11436.0033798259
6500.0,11207.398278129976
6619.0,11170.728229773265
10132.0,11480.45459462082
13267.0,11447.186493729274
14121.0,11413.918392837726
9292.0,11389.12013229621
9157.0,11352.938457284019
7420.000000000001,11069.66783400845
9034.0,10951.841263564564
8418.0,11419.111240056316
8586.0,11375.464311721513
10114.0,11242.243512428326
13445.0,11213.811036272842
11477.0,11185.378560117359
5866.0,10897.62410178264
8348.0,10871.105691858556
13313.0,11273.507968005908
10085.0,11213.456348890159
8700.0,11189.838050528688
13090.999999999998,11166.219752167217
7222.999999999999,11121.658041899851
11232.0,11000.335677559598
11700.0,10968.039146980998
11052.0,11460.366627714504
7493.999999999999,11427.956511075508
13439.0,11395.546394436513
12627.0,11341.635309816786
14123.0,12660.287970407835
11891.0,12321.691415065072
11532.0,10950.996851866548
11147.0,11392.797984280629
13931.000000000002,11367.971774818347
10450.0,11362.485482163163
10428.0,11336.379664253545
10943.0,11310.273846343927
8225.0,10921.451688900124
8317.0,10884.14362216185
11869.0,11364.265656445072
13631.0,11289.695156274112
6481.999999999999,11257.421268203849
13467.0,11225.147380133583
13255.0,11178.57805451812
7557.0,10801.132245241846
8440.0,9325.118459351155
13534.999999999998,9819.4454978095
8717.0,9785.09758263821
13091.999999999998,9750.749667466918
13818.999999999998,9782.43492242798
11418.0,9742.155988046634
8952.0,9319.649998938323
8468.0,9330.824420828447
12935.999999999998,13675.930332113207
10695.0,10195.841551889267
8111.0,10152.173516171086
9850.0,10124.413025121165
15732.0,10096.652534071241
8348.0,9664.521746855833
7207.0,9644.437276687377
12108.0,10190.077574645831
12372.0,10168.430788330721
15761.0,10144.243307048437
11201.0,10120.055825766154
13479.0,11563.4890133648
12856.0,9641.21202929881
8111.0,9615.395747957473
12429.0,11723.60927827407
9874.0,10214.163076943552
11737.0,10193.957704004753
9041.0,10189.317614489755
13350.999999999998,10172.172508600106
8311.0,9621.384701403456
8169.0,9601.798119435045
13197.999999999998,10186.580940571253
9558.0,10172.922612497588
8645.0,10179.495584027018
13868.0,10170.524841124487
9282.0,10161.554098221955
8429.0,9545.383788176565
10946.0,11009.18158061621
12853.0,10160.179413998292
12768.0,10170.41596042133
11543.0,10159.691155423934
11583.0,10522.474078600764
12162.0,12041.365387689813
9818.0,9905.616584958369
10131.0,9883.40399657689
13148.000000000002,10580.305637481253
12946.0,10564.744677752744
11910.0,10549.183718024236
10786.0,10586.140179166225
10643.0,10564.284391729816
4945.0,9891.690350349538
10043.0,9814.363911921893
13333.000000000002,10551.11855431522
14857.999999999998,10532.28622731385
13203.0,10571.09457642678
16874.0,11968.481636919469
18929.0,13962.716861025961
17617.0,9872.4049022562
7312.999999999999,9843.026355544644
13633.0,10652.072062265634
8435.0,10687.18633405521
11381.0,10646.82293013038
13676.0,10606.459526205548
13867.0,10584.415890530981
10064.0,9897.200465414875
8345.0,9860.516441345517
13399.0,10678.13284336811
13652.0,10646.802889761932
12523.0,10615.472936155751
12052.0,10649.774331754275
9315.0,10612.95447261366
8232.0,10293.629973914884
8151.0,10215.84243921572
12046.0,11076.113249017018
14116.0,11039.279357552634
