ytrue,yhat
25770.0,17149.25252098035
25287.0,17510.074267101052
22252.0,16870.32066836976
24725.0,17955.701860745456
24837.0,17558.2947967124
21033.0,12025.904973037834
17042.0,16088.139861708518
16593.0,15071.228375591489
19183.0,14254.699031896029
16982.0,21291.211542863737
20854.0,20405.861358777376
19036.0,20783.499233469513
17830.0,17782.6631821486
17258.0,16945.66401457225
22483.0,18249.40192771347
18780.0,19834.989171552104
16807.0,17055.765074652572
17866.0,15397.073780588547
17629.0,16175.219043259225
17602.0,17552.936887457392
14919.000000000002,19015.675169470887
17794.0,17472.39285667736
17687.0,17157.277345698898
17666.0,18445.53569174244
14521.999999999998,18764.18138696672
14926.0,16121.61358723848
15962.0,17033.809907588206
17602.0,15776.063627014375
15378.0,24478.417306061754
17296.0,19999.67262432108
18423.0,19046.46511637283
12030.0,21064.29871459316
19888.0,16686.159158054743
15360.000000000002,20860.01742556469
15953.999999999998,20752.695191070885
16789.0,19264.52332057808
18041.0,16218.4865821617
22048.0,22395.366275929224
21579.0,17938.319664369687
24036.0,19193.261567072685
22874.0,19162.902451627193
16243.000000000002,19080.078956946007
15076.0,19377.848517845043
15485.999999999998,18702.85506945658
11280.0,17542.59152858933
12754.0,14759.478477021148
12276.0,11053.030016962524
14107.999999999998,14247.930808015542
13674.0,13938.956267337842
10264.0,12302.331686156349
12641.0,11316.731568242614
14014.0,14737.97732339958
13668.000000000002,11655.19925786443
13401.999999999998,13983.305244881109
13478.0,13707.354507797845
12197.0,13738.982979014327
9915.0,13208.622492121565
12737.0,11940.64004713581
14567.0,13646.674326165765
13490.0,12566.050285172449
13885.0,11642.837926487382
15190.0,12530.8078531024
10809.0,10260.323397313128
14830.0,12903.43645154384
13632.0,13345.634805410953
13605.0,13663.361170784996
13436.000000000002,14206.682468091678
14757.999999999998,12867.928283724326
11627.0,10908.631055151503
9600.0,12531.744745422102
16211.999999999998,13449.221441479887
14983.0,13542.287751704958
13732.0,11870.715360350709
13634.0,13580.038402129241
13735.0,13422.45429419806
9429.0,11385.019091797833
14723.0,9870.536334098184
12821.0,12429.879716127882
15556.0,12920.102564184597
16775.0,13503.333237213621
11627.0,12596.161825526657
12502.0,13571.278389115358
10810.0,12735.212174154289
12593.0,12604.011746800237
13969.0,12186.085721617801
14282.0,12541.881671820027
16477.0,13430.236443890466
12231.0,14630.64924255328
14015.0,13130.951572260463
15975.0,11181.324422708927
11842.0,11982.41658456902
13108.0,12619.077227437581
11946.0,13336.902260358174
13271.0,10644.95796970117
13488.000000000002,9920.240663356528
12994.000000000002,13935.531165585737
13343.0,13690.918780908958
13179.0,11901.255237774642
13204.0,12567.212484691645
9862.0,12639.240852103032
15043.999999999998,8523.019927958898
13265.0,11827.807392236606
11076.0,10424.441951424767
13005.0,10145.14122638485
9097.0,13194.151889554665
15698.000000000002,11366.25813097775
10038.0,12747.606014934085
13859.0,12132.862854439163
15480.0,12842.645511975536
11622.0,11392.590123052467
14972.0,12166.628108754048
9841.0,12113.301309237078
13312.0,13895.623448692004
17397.0,14375.16753011233
16332.0,15050.574371146049
16555.0,14551.874864461026
16903.0,12727.504031275424
14970.000000000002,12689.349491884934
13298.999999999998,10134.632351959523
10060.0,11270.255269765908
13098.000000000002,10518.336693492722
13438.0,12849.126652061643
12192.0,12060.75339284098
9147.0,12038.613792851032
12634.0,12503.349315630001
10962.0,11925.822376783777
11100.0,12143.282094602848
13193.999999999998,11810.754436972205
12869.0,10905.369039559875
12300.0,13382.91433175387
13375.999999999998,13124.718546256117
12167.0,11100.34942609886
8381.0,10712.547572283724
13508.999999999998,12610.594360992443
8221.0,10806.821228803365
13423.0,13565.664933612983
12540.0,12122.379197566692
11979.0,13175.396519809956
11883.0,12806.740779279402
12558.0,9083.621961955349
13389.0,14401.380577107284
13269.0,14028.986132714617
10303.0,15452.170947637878
8053.999999999999,13488.963674111948
11955.0,12825.61207650586
10193.0,12506.147614210258
10321.0,11837.915488881628
13305.000000000002,12899.203477959458
13184.0,12817.640536710833
8459.0,12639.243399181338
8383.0,10482.357309002282
