ytrue,yhat
25355.0,19070.82982695238
26858.999999999996,22004.434751963814
20969.0,19805.894085658812
25770.0,20035.331856203204
25287.0,19757.991111613443
22252.0,19606.598762699967
24725.0,21386.577932290424
24837.0,19884.469390007136
21033.0,21855.798913535804
17042.0,21512.729030237388
16593.0,21198.872365747855
17989.0,21020.601610499376
19183.0,20316.53801032821
16982.0,21978.74428162421
20854.0,21271.580409879218
19036.0,18194.34939698663
17830.0,17693.699414142186
17258.0,17529.727710885378
22483.0,17872.174589636914
18780.0,18368.232624920616
16807.0,19884.576872027083
17866.0,18634.7130211704
17629.0,17105.63233195131
17602.0,16775.859764505603
14919.000000000002,16879.06090491454
17794.0,17476.690280702845
17687.0,18295.174066250675
17666.0,18584.320843703525
14521.999999999998,18121.660901885793
14926.0,16195.169738706834
15962.0,16348.420531960195
17602.0,16648.259434314627
15378.0,20718.577952036638
17296.0,19196.08835982508
18423.0,21207.408346083725
12030.0,20171.027245082994
19888.0,18559.98921395479
15360.000000000002,18211.219626152833
15953.999999999998,18093.30939609042
16789.0,18054.908962775884
18041.0,18277.182759062205
22048.0,19379.445966654624
21579.0,18896.064929981352
24036.0,20358.039097654677
22874.0,20311.151572414376
16243.000000000002,20970.585241881006
15076.0,17278.213332646777
15485.999999999998,17833.007526569258
11280.0,18539.961474725642
12754.0,17334.662251840607
12276.0,15439.395530141179
14107.999999999998,14425.623796507969
13674.0,14257.052602970429
10264.0,14335.73331396636
12641.0,13121.690209393806
14014.0,16501.311165616888
13668.000000000002,13614.93867006898
13401.999999999998,14758.041195712169
13478.0,13785.221132556044
12197.0,13102.119572132704
9915.0,14762.931750053136
12737.0,15002.447768779663
14567.0,15892.047892878225
13490.0,13849.533747751626
13885.0,13322.264407370505
15190.0,12610.040825526648
10809.0,12201.698447015988
14830.0,12128.228247315723
13632.0,15228.035508218481
13605.0,14842.49139904592
13436.000000000002,13598.104710383994
14757.999999999998,13357.822859439062
11627.0,12566.668253376578
9600.0,12129.753320105601
16211.999999999998,12053.283789909607
14983.0,12427.21393687252
13732.0,14319.225232111465
13634.0,13240.367855137985
13735.0,13558.679127183637
9429.0,12723.686120253004
14723.0,12149.728519684957
12821.0,11991.513882067404
15556.0,12095.532837525636
16775.0,13457.01678450694
11627.0,13163.51600293018
12502.0,13288.876144027627
10810.0,12451.41817347771
12593.0,11989.732170872749
13969.0,11929.903568721189
14282.0,12263.483174886098
16477.0,14071.879009792512
12231.0,13808.363394597562
14015.0,12862.349169520267
15975.0,12258.678354858008
11842.0,12096.727208713426
13108.0,12349.750451552314
11946.0,13400.113867313381
13271.0,14478.744831450591
13488.000000000002,13150.12662254109
12994.000000000002,13216.757540024619
13343.0,12575.453048273668
13179.0,12346.616983361047
13204.0,12524.288618129003
9862.0,12995.836458231623
15043.999999999998,13908.183170565733
13265.0,12540.054388083132
11076.0,12918.479766059694
13005.0,12172.876300101558
9097.0,11811.200277203921
15698.000000000002,11830.933250951233
10038.0,12140.400290516904
13859.0,13264.946200818697
15480.0,12370.842039626774
11622.0,12778.321864692265
14972.0,12012.2569274341
9841.0,11643.078213831888
13312.0,11683.577932969705
17397.0,12214.170862497025
16332.0,13748.024372276495
16555.0,13720.443838117337
16903.0,13585.857724957023
14970.000000000002,16483.50864718399
13298.999999999998,12246.893345820741
10060.0,12111.868741401182
13098.000000000002,12228.57133972111
13438.0,14169.154467681232
12192.0,12882.726786249883
9147.0,12844.100061222645
12634.0,12136.547155449762
10962.0,11503.954285286845
11100.0,11629.61229250562
13193.999999999998,12025.062612032445
12869.0,13702.22616269499
12300.0,12454.02668034589
13375.999999999998,12266.86573144643
12167.0,11641.124849702388
8381.0,11410.720796320564
13508.999999999998,11573.965358964897
8221.0,11960.093205331943
13423.0,13292.431162613795
12540.0,12345.841432403313
11979.0,12543.802738019298
11883.0,11768.612532304256
12558.0,11395.817391701721
13389.0,11425.73167482302
13269.0,11802.503083111527
10303.0,13284.021928772387
8053.999999999999,12388.903811866518
11955.0,13221.06515122812
10193.0,12365.96616563813
10321.0,11832.155959113285
13305.000000000002,14170.566654317285
13184.0,11823.751761535872
8459.0,13610.070993806625
8383.0,12483.106243765527
10484.0,11910.559492816237
10076.0,11161.976408523977
9097.0,10865.816701260717
13771.000000000002,10932.496174066398
14551.000000000002,11528.797664937443
7682.0,11597.424710811676
8538.0,10679.158619485845
13554.0,11713.421207655561
8515.0,11102.231968246026
8518.0,10897.241829229733
12555.0,11087.424565103573
9578.0,11571.561920265245
11781.0,11276.032415340464
4143.0,10326.032082830026
9250.0,11904.890279200758
16125.0,11271.886951012766
14425.000000000002,11102.09085218408
9385.0,12073.343153016138
18544.0,12363.51676271421
7780.0,12298.570581380054
14546.999999999998,10839.31561817119
8182.0,12545.808244592898
11378.0,11619.714176312127
